"Pos","Num","property11","property12","Team.href","Team.text","Player Name.href","Player Name.text","Status","Quick Stats","property6","property7","property8","property9","property10","index","url"
"RB","23","TDS","3","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/chrisjohnson/262/profile","Johnson, Chris","RES","CAR","196","YDS","814","AVG","4.2","29","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"RB","31","TDS","8","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/davidjohnson/2553435/profile","Johnson, David","ACT","CAR","125","YDS","581","AVG","4.6","30","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"FS","26","INT","5","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/rashadjohnson/71353/profile","Johnson, Rashad","ACT","TCKL","61","SCK","0.0","FF","0","31","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"G","62","","","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/tedlarsen/497026/profile","Larsen, Ted","ACT","G","10","GS","10","","","32","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"LS","82","","","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/mikeleach/2504089/profile","Leach, Mike","ACT","G","16","GS","0","","","33","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"LB","50","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/gabemartin/2553563/profile","Martin, Gabe","ACT","TCKL","--","SCK","--","FF","--","34","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"LB","96","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/kareemmartin/2543738/profile","Martin, Kareem","ACT","TCKL","9","SCK","1.5","FF","1","35","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"T","70","","","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/bobbymassie/2533543/profile","Massie, Bobby","ACT","G","14","GS","14","","","36","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"FS","32","INT","5","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/tyrannmathieu/2540180/profile","Mathieu, Tyrann","RES","TCKL","89","SCK","1.0","FF","1","37","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"NT","97","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/joshmauro/2550437/profile","Mauro, Josh","ACT","TCKL","16","SCK","1.0","FF","2","38","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"MLB","51","INT","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/kevinminter/2540159/profile","Minter, Kevin","ACT","TCKL","94","SCK","0.5","FF","1","39","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
"TE","80","TDS","--","http://www.nfl.com/teams/arizonacardinals/profile?team=ARI","ARI","http://www.nfl.com/player/ifeanyimomah/2541096/profile","Momah, Ifeanyi","RES","REC","--","YDS","--","AVG","--","40","http://www.nfl.com/players/search?category=team&playerType=current&filter=3800"
