"Pos","Num","property11","property12","Team.href","Team.text","Player Name.href","Player Name.text","Status","Quick Status","property6","property7","property8","property9","property10","index","url"
"CB","32","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/jalencollins/2552573/profile","Collins, Jalen","ACT","TCKL","17","SCK","0.0","FF","0","12","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"FB","42","TDS","0","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/patrickdimarco/2530763/profile","DiMarco, Patrick","ACT","CAR","1","YDS","0","AVG","0.0","13","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"OLB","52","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/justindurant/2495597/profile","Durant, Justin","ACT","TCKL","82","SCK","0.0","FF","1","14","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"RB","24","TDS","11","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/devontafreeman/2543583/profile","Freeman, Devonta","ACT","CAR","265","YDS","1,056","AVG","4.0","15","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"TE","","TDS","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/beaugardner/2553524/profile","Gardner, Beau","RES","REC","--","YDS","--","AVG","--","16","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"DE","63","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/bengarland/2507865/profile","Garland, Ben","ACT","TCKL","0","SCK","--","FF","--","17","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"FS","30","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/charlesgodfrey/1292/profile","Godfrey, Charles","ACT","TCKL","12","SCK","0.0","FF","1","18","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"DE","93","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/malliciahgoodman/2539215/profile","Goodman, Malliciah","ACT","TCKL","3","SCK","0.0","FF","0","19","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"C","66","","","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/ginogradkowski/2534764/profile","Gradkowski, Gino","ACT","G","3","GS","1","","","20","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"K","6","LNG","54","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/shaynegraham/2504162/profile","Graham, Shayne","ACT","FGA","13","FGM","11","PCT","84.6","21","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
